Date,Time,Device,Purpose,SpeedDownload,SpeedUpload,NumberofAvailableNetworks,NumberOfDevices,InternetExperience,PeakHour
10/1/2019,11:37,Windows,Gaming,46.46,70.71,6,416,Average,No
10/1/2019,11:37,MacBook,Gaming,39.79,23.97,10,102,Average,No
10/1/2019,11:37,iPhone,Streaming,136.85,112.7,23,329,Good,No
10/1/2019,11:37,Windows,Browsing,19.52,28.17,46,459,Poor,No
10/1/2019,11:37,Windows,Browsing,13.06,29.13,8,266,Poor,No
10/1/2019,11:37,MacBook,Research,56.04,44.69,33,301,Good,No
10/1/2019,11:37,iPhone,Research,21.2,15.35,22,237,Average,No
10/1/2019,11:37,iPhone,Research,46.68,67.82,30,429,Average,No
10/1/2019,11:37,Windows,Gaming,18.1,51.6,48,542,Poor,No
10/1/2019,11:37,Android,Browsing,29.3,62.2,38,90,Average,No
10/3/2019,8:58,iPhone,Browsing,100.44,178.28,14,512,Good,No
10/3/2019,8:59,iPhone,Assignment,91.53,78.18,40,288,Good,No
10/3/2019,9:03,iPhone,Gaming,24.06,44.91,18,206,Average,No
10/9/2019,9:04,Windows,Meeting,17.1,31.5,25,436,Poor,No
10/3/2019,9:06,iPhone,Gaming,93.48,100.17,35,432,Good,No
10/3/2019,9:12,iPhone,Meeting,12.9,26.7,19,525,Poor,No
10/3/2019,9:08,iPhone,Assignment,69.37,79.06,12,505,Good,No
10/3/2019,9:10,iPhone,Streaming,10.93,12.74,18,64,Poor,No
10/9/2019,9:14,Windows,Browsing,0.36,4.66,1,449,Poor,No
10/3/2019,9:16,iPhone,Assignment,149,219.1,27,350,Good,No
10/9/2019,9:20,iPhone,Browsing,31.6,83.1,6,420,Average,No
10/3/2019,9:20,iPhone,Research,9.7,6.56,44,114,Poor,No
10/3/2019,9:38,Android,Streaming,58.6,103.9,14,394,Good,No
10/3/2019,19:42,Windows,Streaming,9.14,4.7,25,376,Poor,Yes
10/9/2019,9:28,Android,Assignment,79.7,90.9,34,495,Good,No
10/9/2019,9:20,Android,Streaming,97,80,4,415,Good,No
10/9/2019,9:15,Android,Meeting,19.1,0.24,14,445,Poor,No
10/9/2019,9:10,Android,Streaming,57,112,7,414,Good,No
10/3/2019,9:05,Android,Browsing,40.4,50.7,16,58,Average,No
10/3/2019,9:40,Android,Browsing,62.7,144.2,13,393,Good,No
